Rank,Team,Won,Lost,Tied,Pct.,First NFL Season,Total Games,Division
1,Dallas Cowboys,493,367,6,0.573,1960,866,NFC East
2,Green Bay Packers,730,553,37,0.567,1921,"1,320",NFC North
3,Chicago Bears,744,568,42,0.565,1920,"1,354",NFC North
4,Miami Dolphins,439,341,4,0.563,1966,784,AFC East
5,New England Patriots,476,383,9,0.554,1960,868,AFC East
6,New York Giants,684,572,33,0.543,1925,"1,289",NFC East
7,Denver Broncos,465,393,10,0.541,1960,868,AFC West
8,Minnesota Vikings,457,387,10,0.541,1961,854,NFC North
9,Baltimore Ravens,181,154,1,0.54,1996,336,AFC North
10,San Francisco 49ers,522,450,14,0.537,1950,986,NFC West
11,Indianapolis Colts,502,441,7,0.532,1953,950,AFC South
12,Oakland Raiders,456,401,11,0.532,1960,868,AFC West
13,Pittsburgh Steelers,601,535,20,0.529,1933,"1,156",AFC North
14,Kansas City Chiefs,447,409,12,0.522,1960,868,AFC West
15,Washington Redskins,586,572,28,0.506,1932,"1,186",NFC East
16,Seattle Seahawks,325,318,1,0.505,1976,644,NFC West
17,Cleveland Browns,462,466,10,0.498,1950,938,AFC North
18,Los Angeles Chargers,426,431,11,0.497,1960,868,AFC West
19,Los Angeles Rams,544,554,21,0.496,1937,"1,119",NFC West
20,Carolina Panthers,172,179,1,0.49,1995,352,NFC South
21,Philadelphia Eagles,555,591,26,0.485,1933,"1,172",NFC East
22,Tennessee Titans,413,449,6,0.479,1960,868,AFC South
23,Buffalo Bills,400,460,8,0.465,1960,868,AFC East
24,Detroit Lions,544,641,32,0.46,1930,"1,217",NFC North
25,Cincinnati Bengals,344,408,4,0.458,1968,756,AFC North
26,New York Jets,392,468,8,0.456,1960,868,AFC East
27,New Orleans Saints,338,427,5,0.442,1967,770,NFC South
28,Houston Texans,106,134,0,0.442,2002,240,AFC South
29,Jacksonville Jaguars,155,197,0,0.44,1995,352,AFC South
30,Atlanta Falcons,341,437,6,0.439,1966,784,NFC South
31,Arizona Cardinals,542,732,40,0.428,1920,"1,314",NFC West
32,Tampa Bay Buccaneers,250,393,1,0.389,1976,644,NFC South
